일자,충전방식,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2023-03-20,급속,4200,2800,2160,1840,2960,4440,7760,10840,17320,21640,22720,27840,29920,26440,26560,26120,26320,26400,23880,19880,16000,12280,8920,5760
2023-03-21,완속,700,560,329,196,217,70,294,413,854,714,875,1036,1106,1127,1477,1904,1988,2583,3381,3143,2814,2408,2373,2163
2023-03-21,급속,3200,2880,2840,2760,2920,4520,9240,13000,15520,17920,21480,25720,27000,26040,25200,28280,27160,24360,25320,19200,14440,12280,8560,5840
2023-03-22,완속,721,469,462,203,147,154,294,448,980,798,805,917,1022,1078,1407,1925,2268,2989,3332,3122,2688,2338,2296,2107
2023-03-22,급속,3680,3760,2960,2720,3000,4120,8360,12040,16560,17240,21880,25960,27680,27400,25960,26960,27000,24080,23480,19680,14960,10960,8080,5480
2023-03-23,완속,686,511,399,147,112,133,224,392,840,791,819,854,1008,854,1414,1757,2177,2611,3388,3332,3220,2254,2268,2226
2023-03-23,급속,3400,2760,2720,2160,2920,4360,6400,10200,12640,15840,19600,25440,26320,24680,25640,24880,28000,24880,25320,19040,13080,11840,9520,6480
2023-03-24,완속,854,588,357,175,140,224,266,525,973,861,1085,1267,1239,1106,1358,1757,2359,2856,3563,3290,2828,2331,2345,2310
2023-03-24,급속,4000,3240,2960,2320,3480,4960,8960,12600,19200,20000,23680,27480,32920,27720,27160,29480,27080,26400,23800,19600,16560,13320,10480,6960
2023-03-25,완속,1127,833,357,308,182,238,378,560,812,1029,1197,1162,1190,1428,1421,1645,1876,2219,2366,2387,2408,2408,1988,1953
2023-03-25,급속,3920,3480,3720,3720,3720,5120,8840,12080,17480,20120,22200,23400,24280,25960,26200,25600,24800,22720,18320,17000,13320,10800,8440,5240
2023-03-26,완속,805,462,385,357,245,154,322,525,630,973,1071,1148,1372,1435,1631,1813,2240,2814,2674,2793,2604,2163,1946,1918
2023-03-26,급속,3600,3440,3760,2920,2960,3680,6440,10800,13880,16640,19120,20200,21680,22440,22160,23040,22960,20200,19520,15760,15720,11160,8000,4800
2023-03-27,완속,644,385,371,147,98,133,259,483,812,721,1022,973,1029,1169,1358,1750,2268,2779,3682,3227,2429,2555,2233,2226
2023-03-27,급속,3840,3120,2400,1840,2320,3560,8320,12080,18840,22080,23240,27360,31480,27960,27240,27840,27640,28200,25000,20800,15800,12800,10600,7240
2023-03-28,완속,700,406,399,168,126,175,287,406,987,728,693,1064,1071,1099,1106,1953,2345,3150,3437,3052,2723,2660,2373,2345
2023-03-28,급속,3760,3680,2960,2480,2840,4800,9160,12200,17560,21480,23600,27040,28760,28680,27800,28240,28880,27440,26800,19920,16120,11200,9600,6880
2023-03-29,완속,700,476,315,315,126,126,217,581,854,770,847,973,840,1134,1379,1743,2184,3003,3633,3367,2569,2506,2338,2317
2023-03-29,급속,4600,3720,3080,2320,2640,5240,9680,12200,19200,21040,22480,25440,30280,25480,26520,27680,25480,26760,26040,19600,15960,13120,9520,6320
